,STNID,ZIP,POSTOFFICE
1561,USC00105980,83323,Declo
1562,USC00106152,83843,Moscow
1563,USC00106174,83647,Mountain
1564,USC00106230,83846,Mullan
1565,USC00106250,83604,Bruneau
1566,USC00106305,83687,Nampa
1567,USC00106388,83654,New
1568,USC00106424,83543,Nezperce
1569,USC00106542,83346,Oakley
1570,USC00106586,83657,Ola
1571,USC00106764,83428,Irwin
1572,USC00106844,83660,Parma
1573,USC00106877,83350,Rupert
1574,USC00106891,83661,Payette
1575,USC00107040,83320,Carey
1576,USC00107046,83546,Pierce
1577,USC00107188,83851,Plummer
1578,USC00107208,83201,Pocatello
1579,USC00107210,83201,Pocatello
1580,USC00107264,83805,Bonners
1581,USC00107301,83855,Potlatch
1582,USC00107320,83525,Elk
1583,USC00107346,83263,Preston
1584,USC00107386,83856,Priest
1585,USC00107563,83525,Elk
1586,USC00107644,83440,Rexburg
1587,USC00107648,83650,Murphy
1588,USC00107673,83349,Richfield
1589,USC00107689,83442,Rigby
1590,USC00107706,83549,Riggins
1591,USC00107808,83271,Rockland
1592,USC00107968,83350,Rupert
1593,USC00108022,83445,Saint
1594,USC00108062,83861,Saint
1595,USC00108076,83467,Salmon
1596,USC00108080,83467,Salmon
1597,USC00108137,83864,Sandpoint
1598,USC00108380,83352,Shoshone
1599,USC00108395,83469,Shoup
1600,USC00108412,83650,Murphy
1601,USC00108535,83276,Soda
1602,USC00108676,83278,Stanley
1603,USC00108928,00056,Snake
1604,USC00108937,83449,Swan
1605,USC00109000,83638,McCall
1606,USC00109065,83452,Tetonia
1607,USC00109293,83301,Twin
1608,USC00109303,83341,Kimberly
1609,USC00109498,83873,Wallace
1610,USC00109560,83549,Riggins
1611,USC00109638,97914,Ontario
1612,USC00109698,83286,Weston
1613,USC00109846,83555,Winchester
1614,USC00109950,83638,McCall
1615,USC00109951,83638,McCall
1616,USC00109963,83525,Elk
1617,USC00110050,62215,Albers
1618,USC00110055,62806,Albion
1619,USC00110072,61231,Aledo
1620,USC00110137,63386,West
1621,USC00110140,61414,Altona
1622,USC00110146,61310,Amboy
1623,USC00110187,62906,Anna
1624,USC00110203,60002,Antioch
1625,USC00110306,62613,Athens
1626,USC00110330,62311,Augusta
1627,USC00110338,60505,Aurora
1628,USC00110356,61415,Avon
1629,USC00110442,60010,Barrington
1630,USC00110492,62618,Beardstown
1631,USC00110500,62414,Beecher
1632,USC00110583,61008,Belvidere
1633,USC00110598,62321,Carthage
1634,USC00110608,62812,Benton
1635,USC00110761,61701,Bloomington
1636,USC00110764,61705,Bloomington
1637,USC00110803,60914,Bourbonnais
1638,USC00110868,61421,Bradford
1639,USC00110993,42001,Paducah
1640,USC00111020,62418,Brownstown
1641,USC00111083,62515,Buffalo
1642,USC00111160,62206,East
1643,USC00111236,61421,Bradford
1644,USC00111250,61520,Canton
1645,USC00111265,62902,Carbondale
1646,USC00111280,62626,Carlinville
1647,USC00111290,62231,Carlyle
1648,USC00111296,62821,Carmi
1649,USC00111302,62821,Carmi
1650,USC00111316,62321,Carthage
1651,USC00111329,62420,Casey
1652,USC00111386,62801,Centralia
1653,USC00111420,60450,Morris
1654,USC00111436,61920,Charleston
1655,USC00111475,61726,Chenoa
1656,USC00111491,63775,Perryville
1657,USC00111497,60022,Glencoe
1658,USC00111550,60603,Chicago
1659,USC00111627,61523,Chillicothe
1660,USC00111655,61830,Cisco
1661,USC00111664,62823,Cisne
1662,USC00111691,62421,Claremont
1663,USC00111700,62824,Clay
1664,USC00111743,61727,Clinton
1665,USC00111835,61378,West
1666,USC00111836,61729,Congerville
1667,USC00112048,60098,Woodstock
1668,USC00112125,61428,Dahinda
1669,USC00112140,61832,Danville
1670,USC00112145,61832,Danville
1671,USC00112193,62521,Decatur
1672,USC00112223,60115,Dekalb
1673,USC00112344,62830,Dix
1674,USC00112348,61021,Dixon
1675,USC00112353,62938,Golconda
1676,USC00112483,62832,Du
1677,USC00112500,60420,Dwight
1678,USC00112510,60518,Earlville
1679,USC00112679,62025,Edwardsville
1680,USC00112685,62401,Effingham
1681,USC00112709,60119,Elburn
1682,USC00112736,60120,Elgin
1683,USC00112745,61028,Elizabeth
1684,USC00112854,61530,Eureka
1685,USC00112923,61739,Fairbury
1686,USC00112931,62837,Fairfield
1687,USC00112993,61842,Farmer
1688,USC00113061,61843,Fisher
1689,USC00113106,62839,Flora
1690,USC00113109,62839,Flora
1691,USC00113120,42001,Paducah
1692,USC00113132,61030,Forreston
1693,USC00113262,61032,Freeport
1694,USC00113290,52732,Clinton
1695,USC00113312,61036,Galena
1696,USC00113320,61401,Galesburg
1697,USC00113335,61434,Galva
1698,USC00113369,60450,Morris
1699,USC00113384,61254,Geneseo
1700,USC00113392,60135,Genoa
1701,USC00113413,60936,Gibson
1702,USC00113455,52601,Burlington
1703,USC00113490,60137,Glen
1704,USC00113530,62320,Camp
1705,USC00113572,63373,Portage
1706,USC00113580,42053,Kevil
1707,USC00113595,63748,Frohna
1708,USC00113612,62863,Mount
1709,USC00113666,62044,Greenfield
1710,USC00113683,62428,Greenup
1711,USC00113693,62246,Greenville
1712,USC00113717,62340,Griggsville
1713,USC00113738,60031,Gurnee
1714,USC00113774,61937,Lovington
1715,USC00113879,62930,Eldorado
1716,USC00113902,60033,Harvard
1717,USC00113940,61542,Lewistown
1718,USC00114013,61327,Hennepin
1719,USC00114078,62432,Hidalgo
1720,USC00114089,62249,Highland
1721,USC00114108,62049,Hillsboro
1722,USC00114198,60942,Hoopeston
1723,USC00114317,47849,Fairbanks
1724,USC00114355,52761,Muscatine
1725,USC00114400,62801,Centralia
1726,USC00114442,62650,Jacksonville
1727,USC00114447,62650,Jacksonville
1728,USC00114489,62052,Jerseyville
1729,USC00114530,60436,Joliet
1730,USC00114603,60901,Kankakee
1731,USC00114629,62241,Ellis
1732,USC00114655,52646,Oakville
1733,USC00114710,61443,Kewanee
1734,USC00114739,62558,Pawnee
1735,USC00114756,62854,Kinmundy
1736,USC00114780,61401,Galesburg
1737,USC00114805,61540,Lacon
1738,USC00114816,60525,La
1739,USC00114823,61450,La
1740,USC00114833,62712,Springfield
1741,USC00114837,60002,Antioch
1742,USC00114879,61046,Lanark
1743,USC00114890,60411,Chicago
1744,USC00114957,62439,Lawrenceville
1745,USC00114991,62254,Lebanon
1746,USC00115038,61542,Lewistown
1747,USC00115079,62656,Lincoln
1748,USC00115097,60532,Lisle
1749,USC00115110,60480,Willow
1750,USC00115113,62661,Loami
1751,USC00115209,62858,Louisville
1752,USC00115219,61937,Lovington
1753,USC00115272,61755,Mackinaw
1754,USC00115280,61455,Macomb
1755,USC00115313,60442,Manhattan
1756,USC00115326,60152,Marengo
1757,USC00115342,62959,Marion
1758,USC00115372,61341,Marseilles
1759,USC00115385,62413,Annapolis
1760,USC00115413,62664,Mason
1761,USC00115430,61938,Mattoon
1762,USC00115493,60050,McHenry
1763,USC00115515,62859,Mc
1764,USC00115539,62030,Fidelity
1765,USC00115562,61342,Mendota
1766,USC00115646,60953,Milford
1767,USC00115712,61760,Minonk
1768,USC00115758,60954,Momence
1769,USC00115763,60449,Monee
1770,USC00115768,61462,Monmouth
1771,USC00115772,61462,Monmouth
1772,USC00115792,61856,Monticello
1773,USC00115825,60450,Morris
1774,USC00115833,61270,Morrison
1775,USC00115841,62546,Morrisonville
1776,USC00115876,61550,Morton
1777,USC00115888,62863,Mount
1778,USC00115901,61053,Mount
1779,USC00115927,62548,Mount
1780,USC00115935,62353,Mount
1781,USC00115943,62864,Mount
1782,USC00115950,62550,Moweaqua
1783,USC00115961,60047,Lake
1784,USC00115983,62966,Murphysboro
1785,USC00116011,62263,Nashville
1786,USC00116024,62447,Neoga
1787,USC00116025,61957,Windsor
1788,USC00116065,60541,Newark
1789,USC00116072,62264,New
1790,USC00116080,52653,Wapello
1791,USC00116134,61942,Newman
1792,USC00116157,62448,Newton
1793,USC00116159,62448,Newton
1794,USC00116200,61761,Normal
1795,USC00116281,60181,Villa
1796,USC00116344,61859,Ogden
1797,USC00116383,62990,Thebes
1798,USC00116446,62450,Olney
1799,USC00116526,61350,Ottawa
1800,USC00116558,62451,Palestine
1801,USC00116579,62557,Pana
1802,USC00116610,61944,Paris
1803,USC00116616,60411,Chicago
1804,USC00116642,62875,Patoka
1805,USC00116661,61353,Paw
1806,USC00116663,60957,Paxton
1807,USC00116670,62360,Payson
1808,USC00116710,61614,Peoria
1809,USC00116725,60468,Peotone
1810,USC00116738,62314,Baylis
1811,USC00116753,61301,La
1812,USC00116760,62675,Petersburg
1813,USC00116765,62675,Petersburg
1814,USC00116769,61864,Philo
1815,USC00116779,62274,Pinckneyville
1816,USC00116819,60959,Piper
1817,USC00116837,62363,Pittsfield
1818,USC00116849,60544,Plainfield
1819,USC00116855,60545,Plano
1820,USC00116874,62896,West
1821,USC00116897,61064,Polo
1822,USC00116910,61764,Pontiac
1823,USC00116970,61422,Bushnell
1824,USC00116973,62277,Prairie
1825,USC00116998,61356,Princeton
1826,USC00117004,61559,Princeville
1827,USC00117014,61261,Lyndon
1828,USC00117077,63471,Taylor
1829,USC00117126,62080,Ramsey
1830,USC00117130,60960,Rankin
1831,USC00117157,62278,Red
1832,USC00117187,62812,Benton
1833,USC00117318,62561,Riverton
1834,USC00117329,61561,Roanoke
1835,USC00117345,62454,Robinson
1836,USC00117354,61068,Rochelle
1837,USC00117370,61081,Sterling
1838,USC00117391,52801,Davenport
1839,USC00117457,60441,Lockport
1840,USC00117470,61073,Roscoe
1841,USC00117487,62947,Herod
1842,USC00117551,62681,Rushville
1843,USC00117586,60175,Saint
1844,USC00117590,61770,Saybrook
1845,USC00117603,62480,Willow
1846,USC00117636,62881,Salem
1847,USC00117833,60550,Shabbona
1848,USC00117859,42437,Morganfield
1849,USC00117876,62565,Shelbyville
1850,USC00117896,62684,Sherman
1851,USC00117916,61024,Durand
1852,USC00117952,61841,Fairmount
1853,USC00118020,42081,Smithland
1854,USC00118146,61565,Sparland
1855,USC00118147,62286,Sparta
1856,USC00118186,62702,Springfield
1857,USC00118192,60081,Spring
1858,USC00118194,60958,Pembroke
1859,USC00118204,61520,Canton
1860,USC00118222,61754,Mc
1861,USC00118248,62272,Percy
1862,USC00118254,60553,Steward
1863,USC00118293,61085,Stockton
1864,USC00118324,60107,Streamwood
1865,USC00118353,61319,Cornell
1866,USC00118389,61951,Sullivan
1867,USC00118491,62568,Taylorville
1868,USC00118630,61483,Toulon
1869,USC00118634,62451,Palestine
1870,USC00118684,61953,Tuscola
1871,USC00118740,61801,Urbana
1872,USC00118742,61801,Urbana
1873,USC00118756,61373,Utica
1874,USC00118781,62471,Vandalia
1875,USC00118797,61375,Varna
1876,USC00118860,62690,Virden
1877,USC00118870,62691,Virginia
1878,USC00118916,61376,Walnut
1879,USC00118932,62894,Waltonville
1880,USC00119002,62298,Waterloo
1881,USC00119021,60970,Watseka
1882,USC00119029,60064,North
1883,USC00119148,62896,West
1884,USC00119221,60532,Lisle
1885,USC00119241,62092,White
1886,USC00119331,62694,Winchester
1887,USC00119354,61957,Windsor
1888,USC00119469,61413,Alpha
1889,USC00119480,60033,Harvard
1890,USC00119816,61572,Yates
1891,USC00119827,60560,Yorkville
1892,USC00120096,46001,Alexandria
1893,USC00120177,46011,Anderson
1894,USC00120182,46012,Anderson
1895,USC00120200,46703,Angola
1896,USC00120331,47918,Attica
1897,USC00120550,47421,Bedford
1898,USC00120676,46711,Berne
1899,USC00120784,47401,Bloomington
1900,USC00120830,46714,Bluffton
1901,USC00120852,47601,Boonville
1902,USC00120858,47944,Fowler
1903,USC00121030,47030,Metamora
1904,USC00121187,46721,Butler
1905,USC00121229,47327,Cambridge
1906,USC00121256,47520,Cannelton
1907,USC00121303,46033,Carmel
1908,USC00121326,46220,Indianapolis
1909,USC00121417,47929,Chalmers
1910,USC00121425,47170,Scottsburg
1911,USC00121628,47842,Clinton
1912,USC00121739,46725,Columbia
1913,USC00121747,47201,Columbus
1914,USC00121814,47112,Corydon
1915,USC00121869,47522,Crane
1916,USC00121873,47933,Crawfordsville
1917,USC00121940,46307,Crown
1918,USC00122041,46122,Danville
1919,USC00122096,46733,Decatur
1920,USC00122149,46923,Delphi
1921,USC00122161,46310,Demotte
1922,USC00122184,47230,Deputy
1923,USC00122309,47527,Dubois
1924,USC00122594,46514,Elkhart
1925,USC00122605,47424,Bloomfield
1926,USC00122638,46036,Elwood
1927,USC00122660,47118,English
1928,USC00122731,42420,Henderson
1929,USC00122814,47850,Farmersburg
1930,USC00122816,47018,Dillsboro
1931,USC00122825,47340,Farmland
1932,USC00122931,46913,Bringhurst
1933,USC00123078,47946,Francesville
1934,USC00123082,46041,Frankfort
1935,USC00123091,46131,Franklin
1936,USC00123104,47512,Bicknell
1937,USC00123206,46738,Garrett
1938,USC00123207,46738,Garrett
1939,USC00123418,46526,Goshen
1940,USC00123513,46135,Greencastle
1941,USC00123527,46140,Greenfield
1942,USC00123547,47240,Greensburg
1943,USC00123777,47348,Hartford
1944,USC00124008,46405,Lake
1945,USC00124181,46750,Huntington
1946,USC00124244,46304,Chesterton
1947,USC00124249,46077,Zionsville
1948,USC00124272,46203,Indianapolis
1949,USC00124286,46202,Indianapolis
1950,USC00124356,46149,Lizton
1951,USC00124372,47546,Jasper
1952,USC00124527,47951,Kentland
1953,USC00124550,46996,Winamac
1954,USC00124613,46350,La
1955,USC00124642,46148,Knightstown
1956,USC00124657,46534,Knox
1957,USC00124662,46979,Russiaville
1958,USC00124667,46901,Kokomo
1959,USC00124711,47901,Lafayette
1960,USC00124715,47909,Lafayette
1961,USC00124730,46761,LaGrange
1962,USC00124778,47963,Morocco
1963,USC00124782,46536,Lakeville
1964,USC00124832,46051,Lapel
1965,USC00124837,46350,La
1966,USC00124910,46052,Lebanon
1967,USC00124977,47138,Lexington
1968,USC00125050,47353,Liberty
1969,USC00125055,46767,Ligonier
1970,USC00125117,46947,Logansport
1971,USC00125174,46356,Lowell
1972,USC00125237,47250,Madison
1973,USC00125337,46952,Marion
1974,USC00125394,47872,Rockville
1975,USC00125407,46151,Martinsville
1976,USC00125485,47725,Evansville
1977,USC00125541,47260,Medora
1978,USC00125613,47356,Middletown
1979,USC00125658,47031,Milan
1980,USC00125700,47421,Bedford
1981,USC00125815,46773,Monroeville
1982,USC00125837,47960,Monticello
1983,USC00125888,47922,Brook
1984,USC00125923,46161,Morristown
1985,USC00126001,42461,Uniontown
1986,USC00126023,47302,Muncie
1987,USC00126056,47448,Nashville
1988,USC00126151,42451,Reed
1989,USC00126164,47362,New
1990,USC00126179,47631,New
1991,USC00126304,46184,Whiteland
1992,USC00126340,46062,Noblesville
1993,USC00126400,46555,North
1994,USC00126401,46366,North
1995,USC00126420,46962,North
1996,USC00126435,47265,North
1997,USC00126506,46236,Indianapolis
1998,USC00126580,47421,Bedford
1999,USC00126697,47164,Palmyra
2000,USC00126705,47454,Paoli
2001,USC00126801,47993,Williamsport
2002,USC00126830,47974,Perrysville
2003,USC00126864,46970,Peru
2004,USC00126872,47567,Petersburg
2005,USC00126989,46563,Plymouth
2006,USC00127069,47371,Portland
2007,USC00127083,47633,Poseyville
2008,USC00127099,47850,Farmersburg
2009,USC00127102,46761,LaGrange
2010,USC00127125,47670,Princeton
2011,USC00127255,46171,Reelsville
2012,USC00127267,47977,Remington
2013,USC00127298,47978,Rensselaer
2014,USC00127370,47374,Richmond
2015,USC00127398,47380,Ridgeville
2016,USC00127482,46975,Rochester
2017,USC00127522,47872,Rockville
2018,USC00127646,46173,Rushville
2019,USC00127724,47532,Ferdinand
2020,USC00127755,47167,Salem
2021,USC00127875,47170,Scottsburg
2022,USC00127935,47274,Seymour
2023,USC00127959,47438,Jasonville
2024,USC00127999,46176,Shelbyville
2025,USC00128036,47581,Shoals
2026,USC00128290,47460,Spencer
2027,USC00128436,46785,Saint
2028,USC00128442,47585,Stendal
2029,USC00128549,47041,Sunman
2030,USC00128698,42348,Hawesville
2031,USC00128723,47807,Terre
2032,USC00128732,47807,Terre
2033,USC00128784,46031,Atlanta
2034,USC00128967,42437,Morganfield
2035,USC00128992,46383,Valparaiso
2036,USC00128999,46383,Valparaiso
2037,USC00129080,47043,Vevay
2038,USC00129112,47591,Vincennes
2039,USC00129113,47591,Vincennes
2040,USC00129138,46992,Wabash
2041,USC00129222,46383,Valparaiso
2042,USC00129240,46580,Warsaw
2043,USC00129243,46510,Claypool
2044,USC00129253,47501,Washington
2045,USC00129430,47906,West
2046,USC00129511,46392,Wheatfield
2047,USC00129557,46075,Whitestown
2048,USC00129605,47581,Shoals
2049,USC00129670,46996,Winamac
2050,USC00129678,47394,Winchester
2051,USC00129724,46797,Woodburn
2052,USC00129905,46901,Kokomo
2053,USC00130088,51001,Akron
2054,USC00130112,52531,Albia
2055,USC00130133,50511,Algona
2056,USC00130149,50008,Allerton
2057,USC00130157,50602,Allison
2058,USC00130181,51003,Alton
2059,USC00130200,50036,Boone
2060,USC00130203,50010,Ames
2061,USC00130213,52205,Anamosa
2062,USC00130241,50021,Ankeny
2063,USC00130364,50022,Atlantic
2064,USC00130385,50025,Audubon
2065,USC00130536,50074,Ellston
2066,USC00130576,50833,Bedford
2067,USC00130600,52208,Belle
2068,USC00130608,52031,Bellevue
2069,USC00130745,50836,Blockton
2070,USC00130753,52537,Bloomfield
2071,USC00130807,50036,Boone
2072,USC00130910,52540,Brighton
2073,USC00130923,50423,Britt
2074,USC00130933,52211,Brooklyn
2075,USC00130999,50006,Alden
2076,USC00131060,52601,Burlington
2077,USC00131233,51401,Carroll
2078,USC00131257,52033,Cascade
2079,USC00131277,51034,Mapleton
2080,USC00131319,52302,Marion
2081,USC00131354,52544,Centerville
2082,USC00131394,50049,Chariton
2083,USC00131402,50616,Charles
2084,USC00131442,51012,Cherokee
2085,USC00131533,51632,Clarinda
2086,USC00131541,50525,Clarion
2087,USC00131635,52730,Camanche
2088,USC00131704,52217,Clutier
2089,USC00131705,52218,Coggon
2090,USC00131710,50056,Colo
2091,USC00131731,52738,Columbus
2092,USC00131742,50621,Conrad
2093,USC00131833,50841,Corning
2094,USC00131954,52136,Cresco
2095,USC00131962,50801,Creston
2096,USC00132110,52101,Decorah
2097,USC00132171,51442,Denison
2098,USC00132209,50131,Johnston
2099,USC00132235,52742,De
2100,USC00132299,52625,Donnellson
2101,USC00132311,52140,Dorchester
2102,USC00132364,52001,Dubuque
2103,USC00132388,50625,Dumont
2104,USC00132573,50627,Eldora
2105,USC00132603,52043,Elkader
2106,USC00132689,50536,Emmetsburg
2107,USC00132724,51334,Estherville
2108,USC00132789,52556,Fairfield
2109,USC00132864,52142,Fayette
2110,USC00132977,50436,Forest
2111,USC00132999,50501,Fort
2112,USC00133007,52627,Fort
2113,USC00133108,51020,Galva
2114,USC00133120,50632,Garwin
2115,USC00133239,50106,Gilman
2116,USC00133288,51534,Glenwood
2117,USC00133290,51534,Glenwood
2118,USC00133438,50849,Greenfield
2119,USC00133473,50112,Grinnell
2120,USC00133487,50638,Grundy
2121,USC00133509,50115,Guthrie
2122,USC00133517,52052,Guttenberg
2123,USC00133584,50441,Hampton
2124,USC00133623,50530,Dayton
2125,USC00133632,51537,Harlan
2126,USC00133675,51540,Hastings
2127,USC00133718,51023,Hawarden
2128,USC00133909,51025,Holstein
2129,USC00133980,50548,Humboldt
2130,USC00133985,50548,Humboldt
2131,USC00134038,51445,Ida
2132,USC00134049,50644,Independence
2133,USC00134063,50125,Indianola
2134,USC00134094,50645,Ionia
2135,USC00134101,52240,Iowa
2136,USC00134142,50126,Iowa
2137,USC00134228,50129,Jefferson
2138,USC00134244,50130,Jewell
2139,USC00134308,50447,Kanawha
2140,USC00134342,51040,Onawa
2141,USC00134381,52632,Keokuk
2142,USC00134389,52565,Keosauqua
2143,USC00134502,50138,Knoxville
2144,USC00134557,50450,Lake
2145,USC00134561,51347,Lake
2146,USC00134585,50140,Lamoni
2147,USC00134620,52151,Lansing
2148,USC00134624,52151,Lansing
2149,USC00134705,52722,Bettendorf
2150,USC00134735,51031,Le
2151,USC00134758,50103,Garden
2152,USC00134874,51545,Little
2153,USC00134894,51546,Logan
2154,USC00134926,50149,Lorimor
2155,USC00134963,52255,Lowden
2156,USC00135086,52057,Manchester
2157,USC00135123,51034,Mapleton
2158,USC00135127,51034,Mapleton
2159,USC00135131,52060,Maquoketa
2160,USC00135198,50158,Marshalltown
2161,USC00135230,50401,Mason
2162,USC00135232,50401,Mason
2163,USC00135250,50853,Massena
2164,USC00135493,51351,Milford
2165,USC00135650,50171,Montezuma
2166,USC00135769,50854,Mount
2167,USC00135796,52641,Mount
2168,USC00135837,52761,Muscatine
2169,USC00135844,52761,Muscatine
2170,USC00135952,50659,New
2171,USC00135992,50208,Newton
2172,USC00136103,50459,Northwood
2173,USC00136151,51560,Oakland
2174,USC00136160,52641,Mount
2175,USC00136190,51354,Ocheyedan
2176,USC00136199,50662,Oelwein
2177,USC00136200,50662,Oelwein
2178,USC00136243,51040,Onawa
2179,USC00136305,50461,Osage
2180,USC00136316,50213,Osceola
2181,USC00136327,52577,Oskaloosa
2182,USC00136392,52501,Ottumwa
2183,USC00136492,50665,Parkersburg
2184,USC00136527,50219,Pella
2185,USC00136566,50220,Perry
2186,USC00136590,51047,Peterson
2187,USC00136719,50574,Pocahontas
2188,USC00136755,50006,Alden
2189,USC00136766,52162,Postville
2190,USC00136800,51245,Primghar
2191,USC00136891,51649,Randolph
2192,USC00136910,52544,Centerville
2193,USC00136940,51566,Red
2194,USC00137147,51246,Rock
2195,USC00137152,51247,Rock
2196,USC00137161,50579,Rockwell
2197,USC00137312,50583,Sac
2198,USC00137326,50472,Saint
2199,USC00137386,51248,Sanborn
2200,USC00137594,51201,Sheldon
2201,USC00137613,51601,Shenandoah
2202,USC00137664,51249,Sibley
2203,USC00137669,51652,Sidney
2204,USC00137678,52591,Sigourney
2205,USC00137700,51250,Sioux
2206,USC00137713,51104,Sioux
2207,USC00137726,50585,Sioux
2208,USC00137844,51301,Spencer
2209,USC00137859,51360,Spirit
2210,USC00137892,50641,Hazleton
2211,USC00137979,50588,Storm
2212,USC00138009,52076,Strawberry
2213,USC00138026,50590,Swea
2214,USC00138062,52338,Swisher
2215,USC00138266,52772,Tipton
2216,USC00138270,50480,Titonka
2217,USC00138296,52342,Toledo
2218,USC00138339,50676,Tripoli
2219,USC00138410,51576,Underwood
2220,USC00138568,52349,Vinton
2221,USC00138632,52228,Fairfax
2222,USC00138668,52653,Wapello
2223,USC00138688,52353,Washington
2224,USC00138742,52171,Waucoma
2225,USC00138755,52172,Waukon
2226,USC00138806,50595,Webster
2227,USC00139062,50271,Williams
2228,USC00139067,52361,Williamsburg
2229,USC00139132,50273,Winterset
2230,USC00139750,50278,Zearing
2231,USC00140010,67410,Abilene
2232,USC00140073,66930,Agenda
2233,USC00140119,67511,Albert
2234,USC00140135,67513,Alexander
2235,USC00140190,67330,Altamont
2236,USC00140195,66834,Alta
2237,USC00140200,67623,Alton
2238,USC00140201,67623,Alton
2239,USC00140313,67005,Arkansas
2240,USC00140326,67510,Abbyville
2241,USC00140365,67831,Ashland
2242,USC00140405,66002,Atchison
2243,USC00140439,67730,Atwood
2244,USC00140441,67730,Atwood
2245,USC00140443,66402,Auburn
2246,USC00140447,67010,Augusta
2247,USC00140535,67418,Barnard
2248,USC00140548,67332,Bartlett
2249,USC00140620,67560,Ness
2250,USC00140637,67072,Latham
2251,USC00140676,67876,Spearville
2252,USC00140679,67013,Belle
2253,USC00140682,66935,Belleville
2254,USC00140693,67420,Beloit
2255,USC00140800,67855,Johnson
2256,USC00140802,67855,Johnson
2257,USC00140810,67335,Cherryvale
2258,USC00140836,67731,Bird
2259,USC00140865,67520,Bison
2260,USC00140877,66521,Onaga
2261,USC00140911,66411,Blue
2262,USC00140926,67018,Bluff
2263,USC00140957,66012,Bonner
2264,USC00141003,66412,Bremen
2265,USC00141029,67732,Brewster
2266,USC00141057,67425,Brookville
2267,USC00141068,67521,Brownell
2268,USC00141104,67834,Bucklin
2269,USC00141141,67523,Burdett
2270,USC00141179,66936,Burr
2271,USC00141202,66846,Council
2272,USC00141233,67022,Caldwell
2273,USC00141239,67023,Cambridge
2274,USC00141282,67355,Niotaze
2275,USC00141351,66842,Cassoday
2276,USC00141355,67601,Hays
2277,USC00141371,67430,Cawker
2278,USC00141383,67656,Ogallah
2279,USC00141395,67024,Cedar
2280,USC00141404,66014,Centerville
2281,USC00141408,66415,Centralia
2282,USC00141425,66401,Alma
2283,USC00141428,66720,Chanute
2284,USC00141435,67431,Chapman
2285,USC00141452,67554,Lyons
2286,USC00141467,67025,Cheney
2287,USC00141478,67335,Cherryvale
2288,USC00141522,67835,Cimarron
2289,USC00141536,67525,Claflin
2290,USC00141559,67432,Clay
2291,USC00141593,66937,Clifton
2292,USC00141612,66047,Lawrence
2293,USC00141632,66938,Clyde
2294,USC00141673,67337,Coffeyville
2295,USC00141699,67701,Colby
2296,USC00141704,67029,Coldwater
2297,USC00141730,67631,Collyer
2298,USC00141733,66015,Colony
2299,USC00141740,66725,Columbus
2300,USC00141761,66901,Concordia
2301,USC00141795,67031,Conway
2302,USC00141858,66845,Cottonwood
2303,USC00141867,66846,Council
2304,USC00141874,66939,Courtland
2305,USC00141875,67651,Natoma
2306,USC00141941,66940,Cuba
2307,USC00141999,67632,Damar
2308,USC00142086,67645,Lenora
2309,USC00142135,66838,Burdick
2310,USC00142213,67635,Dresden
2311,USC00142267,66846,Council
2312,USC00142276,67438,Durham
2313,USC00142329,66020,Easton
2314,USC00142388,66023,Effingham
2315,USC00142396,67114,Newton
2316,USC00142401,67042,El
2317,USC00142409,74056,Pawhuska
2318,USC00142430,67301,Independence
2319,USC00142432,67950,Elkhart
2320,USC00142452,67637,Ellis
2321,USC00142459,67439,Ellsworth
2322,USC00142472,66850,Elmdale
2323,USC00142478,67451,Hope
2324,USC00142519,66536,Saint
2325,USC00142548,66801,Emporia
2326,USC00142574,67441,Enterprise
2327,USC00142582,66733,Erie
2328,USC00142592,66936,Burr
2329,USC00142602,66423,Eskridge
2330,USC00142622,67045,Eureka
2331,USC00142652,66962,Palmer
2332,USC00142686,67047,Fall
2333,USC00142773,66851,Florence
2334,USC00142835,66701,Fort
2335,USC00142848,66520,Olsburg
2336,USC00142872,66427,Frankfort
2337,USC00142894,66736,Fredonia
2338,USC00142938,67544,Hoisington
2339,USC00142945,66740,Galesburg
2340,USC00142980,67846,Garden
2341,USC00143008,66032,Garnett
2342,USC00143037,67444,Geneseo
2343,USC00143074,66743,Girard
2344,USC00143088,67445,Glasco
2345,USC00143100,67446,Glen
2346,USC00143134,67428,Canton
2347,USC00143138,66428,Goff
2348,USC00143156,67741,Kanorado
2349,USC00143175,67736,Gove
2350,USC00143218,67530,Great
2351,USC00143223,67530,Great
2352,USC00143239,67054,Greensburg
2353,USC00143248,67346,Grenola
2354,USC00143257,66852,Gridley
2355,USC00143323,66944,Haddam
2356,USC00143331,67361,Sedan
2357,USC00143366,67056,Halstead
2358,USC00143398,66945,Hanover
2359,USC00143467,66431,Harveyville
2360,USC00143523,67601,Hays
2361,USC00143527,67601,Hays
2362,USC00143545,67120,Peck
2363,USC00143554,67850,Healy
2364,USC00143594,67449,Herington
2365,USC00143620,67062,Hesston
2366,USC00143634,66532,Robinson
2367,USC00143665,67642,Hill
2368,USC00143667,67063,Hillsboro
2369,USC00143686,66071,Paola
2370,USC00143759,66436,Holton
2371,USC00143810,66439,Horton
2372,USC00143822,67349,Howard
2373,USC00143837,67740,Hoxie
2374,USC00143842,66440,Hoyt
2375,USC00143847,67545,Hudson
2376,USC00143855,67951,Hugoton
2377,USC00143867,66748,Humboldt
2378,USC00143897,67452,Hunter
2379,USC00143929,67502,Hutchinson
2380,USC00143930,67501,Hutchinson
2381,USC00143954,67301,Independence
