,STNID,ZIP,POSTOFFICE
195,USC00021574,86336,Sedona
196,USC00021614,86333,Mayer
197,USC00021654,86323,Chino
198,USC00021664,85643,Willcox
199,USC00021849,85533,Clifton
200,USC00021920,84737,Hurricane
201,USC00022109,86333,Mayer
202,USC00022140,85615,Hereford
203,USC00022329,86343,Crown
204,USC00022434,85347,Roll
205,USC00022527,86411,Hackberry
206,USC00022659,85607,Douglas
207,USC00022754,85534,Duncan
208,USC00022782,85207,Mesa
209,USC00022790,85328,Cibola
210,USC00022807,85131,Eloy
211,USC00023009,86001,Flagstaff
212,USC00023027,85132,Florence
213,USC00023110,85643,Willcox
214,USC00023150,85543,Pima
215,USC00023160,86001,Flagstaff
216,USC00023190,85264,Fort
217,USC00023250,86021,Colorado
218,USC00023303,86505,Ganado
219,USC00023393,85337,Gila
220,USC00023448,85541,Payson
221,USC00023505,85501,Globe
222,USC00023596,86023,Grand
223,USC00023668,85614,Green
224,USC00023683,85925,Eagar
225,USC00023828,86024,Happy
226,USC00023961,85928,Heber
227,USC00024053,86332,Kirkland
228,USC00024089,86025,Holbrook
229,USC00024182,00199,Tonto
230,USC00024391,85544,Pine
231,USC00024453,86324,Clarkdale
232,USC00024586,86034,Keams
233,USC00024590,85137,Kearny
234,USC00024645,86401,Kingman
235,USC00024675,85634,Sells
236,USC00024686,86505,Ganado
237,USC00024702,85356,Wellton
238,USC00024759,86403,Lake
239,USC00024761,86403,Lake
240,USC00024829,85048,Phoenix
241,USC00024849,86036,Marble
242,USC00024977,85395,Goodyear
243,USC00025129,86507,Lukachukai
244,USC00025270,85339,Laveen
245,USC00025412,85901,Show
246,USC00025418,85617,Mc
247,USC00025426,86444,Meadview
248,USC00025467,85201,Mesa
249,USC00025512,85539,Miami
250,USC00025635,86322,Camp
251,USC00025665,86033,Kayenta
252,USC00025700,85264,Fort
253,USC00025780,86001,Flagstaff
254,USC00025825,85544,Pine
255,USC00025908,85747,Tucson
256,USC00025924,85648,Rio
257,USC00026037,86336,Sedona
258,USC00026119,85623,Oracle
259,USC00026132,00014,West
260,USC00026180,86040,Page
261,USC00026190,86502,Chambers
262,USC00026194,85326,Buckeye
263,USC00026242,85632,San
264,USC00026250,85344,Parker
265,USC00026282,85624,Patagonia
266,USC00026328,86434,Peach
267,USC00026353,85625,Pearce
268,USC00026468,86025,Holbrook
269,USC00026471,86022,Fredonia
270,USC00026513,85131,Eloy
271,USC00026597,85901,Show
272,USC00026601,85935,Pinetop
273,USC00026603,85255,Scottsdale
274,USC00026616,86021,Colorado
275,USC00026653,85541,Payson
276,USC00026716,85632,San
277,USC00026796,86301,Prescott
278,USC00026840,85541,Payson
279,USC00026865,85344,Parker
280,USC00027036,85602,Benson
281,USC00027281,85545,Roosevelt
282,USC00027334,85610,Elfrida
283,USC00027370,85128,Coolidge
284,USC00027390,85546,Safford
285,USC00027435,85936,Saint
286,USC00027462,85348,Salome
287,USC00027480,85192,Winkelman
288,USC00027488,86502,Chambers
289,USC00027530,85631,San
290,USC00027560,85632,San
291,USC00027593,85614,Green
292,USC00027619,85736,Tucson
293,USC00027622,85736,Tucson
294,USC00027625,85736,Tucson
295,USC00027708,86336,Sedona
296,USC00027716,86046,Williams
297,USC00027855,85901,Show
298,USC00027880,85635,Sierra
299,USC00028012,85937,Snowflake
300,USC00028018,85928,Heber
301,USC00028112,85041,Phoenix
302,USC00028162,85925,Eagar
303,USC00028214,85215,Mesa
304,USC00028329,86004,Flagstaff
305,USC00028348,85173,Superior
306,USC00028349,85173,Superior
307,USC00028396,85347,Roll
308,USC00028468,86514,Teec
309,USC00028499,85287,Tempe
310,USC00028516,86445,Willow
311,USC00028598,85043,Phoenix
312,USC00028619,85638,Tombstone
313,USC00028641,85354,Tonopah
314,USC00028650,85541,Payson
315,USC00028792,86045,Tuba
316,USC00028795,85743,Tucson
317,USC00028796,85716,Tucson
318,USC00028800,85715,Tucson
319,USC00028815,85701,Tucson
320,USC00028817,85705,Tucson
321,USC00028865,85640,Tumacacori
322,USC00028904,86324,Clarkdale
323,USC00028998,85747,Tucson
324,USC00029114,84741,Kanab
325,USC00029156,86004,Flagstaff
326,USC00029158,86305,Prescott
327,USC00029166,85332,Congress
328,USC00029271,85901,Show
329,USC00029287,85390,Wickenburg
330,USC00029309,86406,Lake
331,USC00029334,85643,Willcox
332,USC00029359,86046,Williams
333,USC00029376,86445,Willow
334,USC00029410,86505,Ganado
335,USC00029464,85361,Wittmann
336,USC00029542,86001,Flagstaff
337,USC00029562,85615,Hereford
338,USC00029634,85351,Sun
339,USC00029645,86442,Bullhead
340,USC00029652,85350,Somerton
341,USC00029656,92283,Winterhaven
342,USC00030006,72944,Mansfield
343,USC00030064,72410,Alicia
344,USC00030130,72122,Paron
345,USC00030150,71921,Amity
346,USC00030220,71923,Arkadelphia
347,USC00030234,71630,Arkansas
348,USC00030240,72055,Gillett
349,USC00030286,71822,Ashdown
350,USC00030300,71971,Umpire
351,USC00030326,72006,Augusta
352,USC00030458,72501,Batesville
353,USC00030460,72501,Batesville
354,USC00030536,72347,Hickory
355,USC00030582,72015,Benton
356,USC00030586,72712,Bentonville
357,USC00030616,72616,Berryville
358,USC00030618,72616,Berryville
359,USC00030664,71953,Mena
360,USC00030746,72415,Black
361,USC00030764,71956,Mountain
362,USC00030798,72842,Havana
363,USC00030806,72315,Blytheville
364,USC00030814,71973,Wickes
365,USC00030832,72927,Booneville
366,USC00030936,72021,Brinkley
367,USC00031102,72023,Cabot
368,USC00031132,72519,Calico
369,USC00031140,71730,El
370,USC00031152,71701,Camden
371,USC00031191,71644,Grady
372,USC00031310,72027,Center
373,USC00031328,72834,Dardanelle
374,USC00031442,72029,Clarendon
375,USC00031455,72830,Clarksville
376,USC00031457,72830,Clarksville
377,USC00031459,72830,Clarksville
378,USC00031492,72031,Clinton
379,USC00031508,72832,Coal
380,USC00031596,72032,Conway
381,USC00031632,72422,Corning
382,USC00031666,71937,Cove
383,USC00031730,71635,Crossett
384,USC00031750,72210,Little
385,USC00031829,72039,Damascus
386,USC00031834,72833,Danville
387,USC00031838,72802,Russellville
388,USC00031900,72628,Deer
389,USC00031948,71832,De
390,USC00031962,71638,Dermott
391,USC00031968,72040,Des
392,USC00031980,72774,West
393,USC00032015,71833,Dierks
394,USC00032020,71833,Dierks
395,USC00032148,71639,Dumas
396,USC00032355,71640,Eudora
397,USC00032356,72631,Eureka
398,USC00032366,72532,Evening
399,USC00032444,72704,Fayetteville
400,USC00032475,71635,Crossett
401,USC00032540,71742,Fordyce
